sample	arm	tcn	lcn	cn_length	arm_length	frac_of_arm	cn_state
X1098	1p	6	3	20580541.5	20580541.5	1	AMP (BALANCED)
X1098	1q	6	3	119248342.5	121391930.5	0.98	AMP (BALANCED)
X1098	2p	5	2	51084551	51084551	1	GAIN
X1098	2q	5	2	138847849	147434439	0.94	GAIN
X1098	3p	5	2	2011616	2011616	1	GAIN
X1098	4q	5	2	115290100	115290100	1	GAIN
X1098	5q	4	1	115794800	116933625	0.99	CNLOH AFTER
X1098	6q	4	1	92878900	92878900	1	CNLOH AFTER
X1098	7q	6	3	57656623	58779121	0.98	AMP (BALANCED)
X1098	8q	6	3	53808681	55818966	0.96	AMP (BALANCED)
X1098	9q	3	1	68484207	68484207	1	LOSS AFTER
X1098	10q	4	1	56744762	56834262	1	CNLOH AFTER
X1098	11q	3	1	35142198	35142198	1	LOSS AFTER
X1098	12q	6	0	71478297	71478297	1	AMP (LOH)
X1098	13q	2	0	28492512	28492512	1	LOSS BEFORE
X1098	15q	4	2	59305721	59305721	1	TETRAPLOID
X1098	16p	4	2	30353600	33478713.5	0.91	TETRAPLOID
X1098	16q	3	1	52883186.5	52883186.5	1	LOSS AFTER
X1098	17p	5	0	17885695	20855447	0.86	CNLOH BEFORE & GAIN
X1098	18q	3	0	62086347.5	62086347.5	1	CNLOH BEFORE & LOSS
X1098	20p	6	3	27632690	27632690	1	AMP (BALANCED)
X1098	20q	6	3	34067483	36089009	0.94	AMP (BALANCED)
X1098	23p	1	0	44151100	44151100	1	LOSS BEFORE & AFTER
